No,HID,Hotel-Name,UPDATE URL 15 JAN,SLUG,Supplier-or-Direct,Country,SEARCH
1480,7063,hotel-mystays-sapporo-station,www.gother.com/th-th/hotels/japan/hokkaido/sapporo/hotel-mystays-sapporo-station,japan/hokkaido/sapporo/hotel-mystays-sapporo-station,Supplier,japan,38
1495,788874,hotel-select-inn-shikoku-chuo,www.gother.com/th-th/hotels/japan/ehime/shikokuchuo/hotel-select-inn-shikoku-chuo,japan/ehime/shikokuchuo/hotel-select-inn-shikoku-chuo,Supplier,japan,38
1564,194498,mk-stay-formerly-hotel-mk,www.gother.com/th-th/hotels/hong-kong/kowloon/mongkok/mk-stay-formerly-hotel-mk,hong-kong/kowloon/mongkok/mk-stay-formerly-hotel-mk,Supplier,hong-kong,38
1619,685146,watermark-hotel-kaohsiung-main-station,www.gother.com/th-th/hotels/taiwan/kaohsiung/sanmin-district/watermark-hotel-kaohsiung-main-station,taiwan/kaohsiung/sanmin-district/watermark-hotel-kaohsiung-main-station,Supplier,taiwan,38
1620,675065,hotel-relax-5,www.gother.com/th-th/hotels/taiwan/taipei/zhongzheng/hotel-relax-5,taiwan/taipei/zhongzheng/hotel-relax-5,Supplier,taiwan,38
1631,885784,meworld-hotel-taipei-main-station,www.gother.com/th-th/hotels/taiwan/taipei/taipei-main-station/meworld-hotel-taipei-main-station,taiwan/taipei/taipei-main-station/meworld-hotel-taipei-main-station,Supplier,taiwan,38
1849,9201,sky-fortune-boutique-hotel,www.gother.com/th-th/hotels/china/shanghai/minhang/sky-fortune-boutique-hotel,china/shanghai/minhang/sky-fortune-boutique-hotel,Supplier,china,38
1853,51510,jinling-purple-mountain-hotel-shanghai,www.gother.com/th-th/hotels/china/shanghai/pudong/jinling-purple-mountain-hotel-shanghai,china/shanghai/pudong/jinling-purple-mountain-hotel-shanghai,Supplier,china,38
1857,271352,shanghai-fish-inn-bund,www.gother.com/th-th/hotels/china/shanghai/huangpu/shanghai-fish-inn-bund,china/shanghai/huangpu/shanghai-fish-inn-bund,Supplier,china,38
419,4997,Z-Through-By-The-Zign-Hotel,www.gother.com/th-th/hotels/thailand/chonburi/north-pattaya/z-through-by-the-zign-hotel,thailand/chonburi/north-pattaya/z-through-by-the-zign-hotel,DIRECT,thailand,37
